ts,hostname,fleet_host_id,ziti_identity,ziti_identity_id,prev_state,new_state,score,reasons,tdetect,tdecision,tenforce
2026-03-17T05:14:47.164034+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-17T05:14:46.981687+00:00,2026-03-17T05:14:47.125274+00:00,2026-03-17T05:14:47.164081+00:00
2026-03-17T05:14:47.232377+00:00,TRUNG,2,ep-TRUNG,2snmfOSNXv,,quarantine,66,"[""All - Compliance marker present""]",2026-03-17T05:14:47.170506+00:00,2026-03-17T05:14:47.221608+00:00,2026-03-17T05:14:47.232389+00:00
2026-03-17T05:14:47.336894+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,,compliant,100,[],2026-03-17T05:14:47.236982+00:00,2026-03-17T05:14:47.322848+00:00,2026-03-17T05:14:47.336954+00:00
2026-03-17T05:19:06.892424+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-17T05:19:06.797346+00:00,2026-03-17T05:19:06.859837+00:00,2026-03-17T05:19:06.892435+00:00
2026-03-17T05:19:58.806848+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-17T05:19:58.741474+00:00,2026-03-17T05:19:58.797004+00:00,2026-03-17T05:19:58.806865+00:00
2026-03-17T05:43:30.899371+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-17T05:43:30.822431+00:00,2026-03-17T05:43:30.867503+00:00,2026-03-17T05:43:30.899382+00:00
2026-03-17T05:44:22.464530+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-17T05:44:22.392692+00:00,2026-03-17T05:44:22.435275+00:00,2026-03-17T05:44:22.464544+00:00
2026-03-17T05:50:39.993050+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,compliant,quarantine,67,"[""Windows - Forbidden process not running (Calculator)""]",2026-03-17T05:50:39.889319+00:00,2026-03-17T05:50:39.955620+00:00,2026-03-17T05:50:39.993061+00:00
2026-03-17T06:14:02.508215+00:00,LAPTOP-ON35J0KK,1,ep-LAPTOP-ON35J0KK,ty7l9IZH5,quarantine,compliant,100,[],2026-03-17T06:14:02.441629+00:00,2026-03-17T06:14:02.482689+00:00,2026-03-17T06:14:02.508227+00:00
2026-03-20T09:19:39.306574+00:00,TINH-2304,3,ep-TINH-2304,d4Ht-gcaz3,,quarantine,66,"[""All - Compliance marker present""]",2026-03-20T09:19:38.876435+00:00,2026-03-20T09:19:39.277513+00:00,2026-03-20T09:19:39.306598+00:00
